form_name,yaml_name,line_on_form,description_on_form,prep_data_classification
Form 1040,taxYear,Header - tax year,Tax Year,direct user inputs
Form 1040,primaryFirstName,Header - name,Taxpayer first name,direct user inputs
Form 1040,primaryMiddleInitial,Header - name,Taxpayer middle initial,direct user inputs
Form 1040,primaryLastName,Header - name,Taxpayer last name,direct user inputs
Form 1040,primarySSN,Header - SSN,Taxpayer SSN,direct user inputs
Form 1040,spouseFirstName,Header - name (spouse),Spouse first name,direct user inputs
Form 1040,spouseMiddleInitial,Header - name (spouse),Spouse middle initial,direct user inputs
Form 1040,spouseLastName,Header - name (spouse),Spouse last name,direct user inputs
Form 1040,spouseSSN,Header - SSN (spouse),Spouse SSN,direct user inputs
Form 1040,streetAddress,Header - home address,Street Address,direct user inputs
Form 1040,apartmentNumber,Header - apartment no.,Apartment number,direct user inputs
Form 1040,city,"Header - city, town, or post office",City,direct user inputs
Form 1040,stateAbbreviation,Header - state,State Abbreviation,direct user inputs
Form 1040,zipCode,Header - ZIP code,ZIP Code - 5 digits plus optional 4 or 7 digits,direct user inputs
Form 1040,foreignCountryName,Header - foreign country,Foreign Country,direct user inputs
Form 1040,foreignProvinceName,Header - foreign province/state/county,Foreign province/country,direct user inputs
Form 1040,foreignPostalCode,Header - foreign postal code,Foreign postal code,direct user inputs
Form 1040,spouseNm,Header - spouse name (NRA / dual-status),MFS spouse name,direct user inputs
Form 1040,qualifyingHOHNm,Header - qualifying person (HOH),HOH child name,direct user inputs
Form 1040,filingStatus,Header - filing status,Filing Status - FS Single / FS Married filing joint / FS Married separate / FS Head of household / FS QSS,direct user inputs
Form 1040,nrOrDualStatAlienSpName,Header - NRA spouse name,NR or Dual Status Alien Spouse Name,direct user inputs
Form 1040,digitalAssetsInd,Digital assets question,Digital assert / virtual currency check boxes,direct user inputs
Form 1040,primaryClaimAsDependentInd,Dependents - someone can claim you,Taxpayer claimed as dependent,direct user inputs
Form 1040,spouseClaimAsDependentInd,Dependents - spouse claimed as dependent,Spouse claimed as dependent,direct user inputs
Form 1040,mustItemizeInd,Standard deduction - MFS / dual-status itemize,Spouse itemizes box,direct user inputs
Form 1040,primary65OrOlderInd,"Standard deduction - born before Jan 2, 1960 (you)",Taxpayer is 65 or over,direct user inputs
Form 1040,primaryBlindInd,Standard deduction - blind (you),Taxpayer is blind,direct user inputs
Form 1040,spouse65OrOlderInd,"Standard deduction - born before Jan 2, 1960 (spouse)",Spouse is 65 or over,direct user inputs
Form 1040,spouseBlindInd,Standard deduction - blind (spouse),Spouse is blind,direct user inputs
Form 1040,dependentDetail,"Dependents - table (name, SSN, relationship, credits)",Additional dependents,direct user inputs
Form 1040,wagesAmt,1a,"Wages, salaries and tips",direct user inputs
Form 1040,householdEmployeeWagesAmt,1b,Household employee wages,direct user inputs
Form 1040,tipIncomeAmt,1c,Tip income not reported,direct user inputs
Form 1040,medicaidWaiverPymtNotRptW2Amt,1d (Medicaid waiver payments not on W-2; see instructions),Medicaid waiver payments not reported,direct user inputs
Form 1040,taxableBenefitsAmt,1e,Taxable dependent care benefits,direct user inputs
Form 1040,taxableBenefitsForm8839Amt,1f,Employer-provided adoption benefits from Form 8839,indirect user inputs
Form 1040,totalWagesWithNoWithholdingAmt,1g (Medicaid waiver payments not on W-2; see instructions),Wages from Form 8919,indirect user inputs
Form 1040,otherEarnedIncomeAmt,1h,Other earned income,direct user inputs
Form 1040,nontxCombatPayElectionAmt,1i (nontaxable combat pay election),Nontaxable combat pay election,direct user inputs
Form 1040,wagesSalariesAndTipsAmt,1z,Wages salaries and tips amount. Add lines 1a through 1h,calculated values
Form 1040,taxExemptInterestAmt,2a,Tax-exempt interest,direct user inputs
Form 1040,taxableInterestAmt,2b,Taxable Interest,direct user inputs
Form 1040,qualifiedDividendsAmt,3a,Qualified dividends,direct user inputs
Form 1040,ordinaryDividendsAmt,3b,Ordinary dividends,direct user inputs
Form 1040,iraDistributionsAmt,4a,IRA distributions,direct user inputs
Form 1040,taxableIRAAmt,4b,IRA taxable amount,direct user inputs
Form 1040,pensionsAnnuitiesAmt,5a,Pensions and annuities,direct user inputs
Form 1040,totalTaxablePensionsAmt,5b,Pensions and annuities taxable amount,direct user inputs
Form 1040,socSecBnftAmt,6a,Social security benefits,direct user inputs
Form 1040,taxableSocSecAmt,6b,Social security benefits taxable amount,calculated values
Form 1040,lumpSumElectionMethodInd,6c (lump-sum election),Lump sum election method  checkbox,direct user inputs
Form 1040,capitalGainLossAmt,7,Capital gain loss,calculated values
Form 1040,totalAdditionalIncomeAmt,8 (Schedule 1),Additional income from Schedule 1,calculated values
Form 1040,totalIncomeAmt,9,Total income amount,calculated values
Form 1040,totalAdjustmentsAmt,10 (Schedule 1),Adjustments to income from Schedule 1,calculated values
Form 1040,adjustedGrossIncomeAmt,11,Adjusted gross income. Subtract total adjustments amount from total income amount. This is your adjusted gross income,calculated values
Form 1040,totalItemizedOrStandardDedAmt,12,Standard deduction or itemized deductions,calculated values
Form 1040,qualifiedBusinessIncomeDedAmt,13,Qualified business income deduction,calculated values
Form 1040,totalDeductionsAmt,14,Total Deductions Amount,calculated values
Form 1040,taxableIncomeAmt,15,Taxable income,calculated values
Form 1040,taxAmt,16,Tax Amount,calculated values
Form 1040,ctcodcAmt,18 (Schedule 8812),Child tax credit or credit for other dependents from Schedule 8812,calculated values
Form 1040,totalNonrefundableCreditsAmt,19 (Schedule 3),Total Non refundable Credits amount. Amount from Schedule 2 line 3,calculated values
Form 1040,totalCreditsAmt,20,Total credits amount. Add lines 19 and 20,calculated values
Form 1040,taxLessCreditsAmt,21,Subtotal line (Tax minus credits). Subtract line 21 from line 18,calculated values
Form 1040,totalOtherTaxesAmt,22 (Schedule 2),Other taxes including self-employment tax,calculated values
Form 1040,totalTaxAmt,24,Add lines 22 and 23 this is your total tax,calculated values
Form 1040,formW2WithheldTaxAmt,25a,Federal income tax withheld from Form W2,direct user inputs
Form 1040,form1099WithheldTaxAmt,25b,Federal income tax withheld from Form 1099,direct user inputs
Form 1040,taxWithheldOtherAmt,25c,Federal income tax withheld from Other forms,direct user inputs
Form 1040,withholdingTaxAmt,25d,Total Tax withholdings. Add lines 25a through 25c,calculated values
Form 1040,estimatedTaxPaymentsAmt,26,2023 estimated tax payments and amount applied from 2022 return,direct user inputs
Form 1040,earnedIncomeCreditAmt,27,Earned income credit (EIC),indirect user inputs
Form 1040,additionalChildTaxCreditAmt,28 (Schedule 8812),Additional child tax credit from Schedule 8812,indirect user inputs
Form 1040,refundableAmerOppCreditAmt,29 (Form 8863),American opportunity credit from Form 8863,indirect user inputs
Form 1040,totalOtherPaymentsRfdblCrAmt,31 (Schedule 3),Amount from Schedule 3,calculated values
Form 1040,refundableCreditsAmt,32,Add lines 27 28 29 and 31 these are your total other payments and refundable credits,calculated values
Form 1040,totalPaymentsAmt,33,Add lines 25d 26 and 32 these are your total payments,calculated values
Form 1040,overpaidAmt,34,If line 33 is more than line 24 subtract line 24 from line 33 this is the amount you overpaid,calculated values
